name,Date,Open,High,Low,Close,Volume
XLC,"Jan 16, 2024",73.50,73.74,73.14,73.39,73.39
XLC,"Jan 12, 2024",73.75,74.11,73.65,73.81,73.81
XLC,"Jan 11, 2024",74.00,74.01,72.81,73.45,73.45
XLC,"Jan 10, 2024",73.16,73.98,73.05,73.69,73.69
XLC,"Jan 09, 2024",72.81,73.26,72.67,73.01,73.01
XLC,"Jan 08, 2024",72.28,73.18,72.09,73.16,73.16
XLC,"Jan 05, 2024",71.80,72.45,71.74,72.04,72.04
XLC,"Jan 04, 2024",72.09,72.18,71.74,71.74,71.74
XLC,"Jan 03, 2024",72.07,72.52,71.88,71.98,71.98
XLC,"Jan 02, 2024",72.31,72.42,71.67,72.25,72.25
XLC,"Dec 29, 2023",72.95,73.05,72.37,72.66,72.66
XLC,"Dec 28, 2023",72.99,73.36,72.99,73.10,73.10
XLC,"Dec 27, 2023",72.90,73.03,72.64,72.90,72.90
XLC,"Dec 26, 2023",72.72,72.98,72.57,72.89,72.89
XLC,"Dec 22, 2023",72.75,73.10,72.27,72.61,72.61
XLC,"Dec 21, 2023",72.47,72.66,71.99,72.60,72.60
XLC,"Dec 20, 2023",72.51,73.26,71.88,71.89,71.89
XLC,"Dec 19, 2023",71.85,72.56,71.85,72.45,72.45
XLC,"Dec 18, 2023",71.00,72.05,71.00,71.72,71.72
XLC,"Dec 15, 2023",70.89,71.37,70.73,71.02,70.85
XLC,"Dec 14, 2023",71.12,71.54,70.58,71.20,71.03
XLC,"Dec 13, 2023",70.29,71.04,70.06,70.89,70.72
XLC,"Dec 12, 2023",69.86,70.23,69.57,70.23,70.06
XLC,"Dec 11, 2023",70.19,70.23,69.64,69.94,69.77
XLC,"Dec 08, 2023",69.56,70.66,69.56,70.48,70.31
XLC,"Dec 07, 2023",69.39,70.51,69.37,70.15,69.98
XLC,"Dec 06, 2023",69.30,69.37,68.63,68.71,68.54
XLC,"Dec 05, 2023",69.04,69.49,68.51,68.89,68.72
XLC,"Dec 04, 2023",69.00,69.30,68.75,69.21,69.04
XLC,"Dec 01, 2023",69.65,69.96,69.21,69.91,69.74
XLC,"Nov 30, 2023",70.18,70.38,69.18,69.77,69.60
XLC,"Nov 29, 2023",70.89,70.96,70.03,70.18,70.01
XLC,"Nov 28, 2023",70.37,70.72,70.16,70.69,70.52
XLC,"Nov 27, 2023",70.61,70.98,70.48,70.52,70.35
XLC,"Nov 24, 2023",71.11,71.23,70.76,70.96,70.79
XLC,"Nov 22, 2023",70.98,71.50,70.97,71.20,71.03
XLC,"Nov 21, 2023",70.71,70.81,70.40,70.62,70.45
XLC,"Nov 20, 2023",69.89,70.93,69.81,70.86,70.69
XLC,"Nov 17, 2023",69.91,70.09,69.66,70.07,69.90
XLC,"Nov 16, 2023",69.79,70.11,69.46,70.08,69.91
XLC,"Nov 15, 2023",69.84,69.91,69.40,69.77,69.60
XLC,"Nov 14, 2023",69.39,69.99,69.31,69.43,69.26
XLC,"Nov 13, 2023",68.16,68.60,67.97,68.32,68.15
XLC,"Nov 10, 2023",67.51,68.49,67.27,68.47,68.30
XLC,"Nov 09, 2023",67.78,68.08,67.23,67.40,67.23
XLC,"Nov 08, 2023",67.50,67.68,67.18,67.42,67.25
XLC,"Nov 07, 2023",67.48,68.00,67.33,67.74,67.57
XLC,"Nov 06, 2023",67.59,67.74,67.09,67.38,67.21
XLC,"Nov 03, 2023",67.08,67.78,67.06,67.56,67.39
XLC,"Nov 02, 2023",66.48,66.69,66.13,66.54,66.38
XLC,"Nov 01, 2023",64.70,65.71,64.63,65.67,65.51
XLC,"Oct 31, 2023",64.58,64.75,64.11,64.72,64.56
XLC,"Oct 30, 2023",63.64,64.68,63.59,64.39,64.23
XLC,"Oct 27, 2023",63.38,63.74,62.83,63.09,62.94
XLC,"Oct 26, 2023",63.83,64.04,62.82,63.32,63.16
XLC,"Oct 25, 2023",66.15,66.24,64.68,64.73,64.57
XLC,"Oct 24, 2023",67.54,68.04,67.19,67.66,67.49
XLC,"Oct 23, 2023",66.46,67.35,66.09,66.87,66.71
XLC,"Oct 20, 2023",67.22,67.47,66.47,66.52,66.36
XLC,"Oct 19, 2023",68.24,68.34,67.10,67.14,66.98
XLC,"Oct 18, 2023",68.06,68.41,67.08,67.21,67.05
XLC,"Oct 17, 2023",67.77,68.50,67.71,68.39,68.22
XLC,"Oct 16, 2023",67.57,68.25,67.43,68.15,67.98
XLC,"Oct 13, 2023",67.82,68.12,66.71,67.07,66.91
XLC,"Oct 12, 2023",68.74,68.78,67.51,67.83,67.66
XLC,"Oct 11, 2023",68.29,68.88,68.24,68.64,68.47
XLC,"Oct 10, 2023",67.72,68.43,67.65,68.02,67.85
XLC,"Oct 09, 2023",66.58,67.82,66.46,67.63,67.46
XLC,"Oct 06, 2023",65.26,67.03,65.17,66.91,66.75
XLC,"Oct 05, 2023",65.72,65.88,65.04,65.70,65.54
XLC,"Oct 04, 2023",65.12,65.93,64.93,65.79,65.63
XLC,"Oct 03, 2023",65.71,66.16,65.04,65.17,65.01
XLC,"Oct 02, 2023",65.76,66.25,65.56,66.06,65.90
XLC,"Sep 29, 2023",66.38,66.59,65.37,65.57,65.41
XLC,"Sep 28, 2023",65.20,66.28,65.19,65.94,65.78
XLC,"Sep 27, 2023",65.27,65.56,64.31,65.22,65.06
XLC,"Sep 26, 2023",65.14,65.29,64.86,65.05,64.89
XLC,"Sep 25, 2023",65.37,65.78,65.14,65.78,65.62
XLC,"Sep 22, 2023",66.03,66.43,65.62,65.62,65.46
XLC,"Sep 21, 2023",65.98,66.38,65.70,65.70,65.54
XLC,"Sep 20, 2023",67.58,67.68,66.52,66.52,66.36
XLC,"Sep 19, 2023",67.23,67.64,66.88,67.44,67.27
XLC,"Sep 18, 2023",67.24,67.64,67.21,67.39,67.22
XLC,"Sep 15, 2023",68.40,68.46,67.38,67.51,67.18
XLC,"Sep 14, 2023",67.90,68.51,67.57,68.42,68.08
XLC,"Sep 13, 2023",67.35,67.63,66.97,67.48,67.15
XLC,"Sep 12, 2023",67.82,67.87,67.20,67.26,66.93
XLC,"Sep 11, 2023",67.27,68.11,67.27,67.97,67.63
XLC,"Sep 08, 2023",66.78,67.27,66.78,66.96,66.63
XLC,"Sep 07, 2023",66.59,67.29,66.27,66.76,66.43
XLC,"Sep 06, 2023",67.09,67.24,66.50,66.88,66.55
XLC,"Sep 05, 2023",67.03,67.49,67.03,67.09,66.76
XLC,"Sep 01, 2023",67.95,67.95,66.92,67.10,66.77
XLC,"Aug 31, 2023",67.74,68.22,67.68,67.73,67.40
XLC,"Aug 30, 2023",67.66,67.84,67.31,67.66,67.33
XLC,"Aug 29, 2023",66.33,67.76,66.31,67.65,67.32
XLC,"Aug 28, 2023",65.80,66.23,65.63,66.18,65.85
XLC,"Aug 25, 2023",65.40,65.70,64.32,65.38,65.06
XLY,"Jan 16, 2024",172.91,174.44,172.40,173.76,173.76
XLY,"Jan 12, 2024",175.35,176.15,173.63,173.96,173.96
XLY,"Jan 11, 2024",176.11,176.67,174.24,176.08,176.08
XLY,"Jan 10, 2024",175.18,176.74,175.14,176.31,176.31
XLY,"Jan 09, 2024",174.28,175.16,173.83,174.91,174.91
XLY,"Jan 08, 2024",172.92,175.76,172.88,175.56,175.56
XLY,"Jan 05, 2024",171.91,174.03,171.84,172.62,172.62
XLY,"Jan 04, 2024",172.87,174.49,172.29,172.35,172.35
XLY,"Jan 03, 2024",175.97,176.06,173.50,173.57,173.57
XLY,"Jan 02, 2024",178.25,178.33,176.47,177.15,177.15
XLY,"Dec 29, 2023",179.99,180.29,178.20,178.81,178.81
XLY,"Dec 28, 2023",181.12,181.46,179.78,179.92,179.92
XLY,"Dec 27, 2023",180.47,181.33,180.38,180.86,180.86
XLY,"Dec 26, 2023",179.88,180.47,179.53,180.24,180.24
XLY,"Dec 22, 2023",180.09,180.86,178.74,179.48,179.48
XLY,"Dec 21, 2023",179.98,180.87,178.97,180.81,180.81
XLY,"Dec 20, 2023",180.60,182.19,178.06,178.10,178.10
XLY,"Dec 19, 2023",180.61,181.88,180.57,181.41,181.41
XLY,"Dec 18, 2023",179.46,180.57,179.10,180.00,180.00
XLY,"Dec 15, 2023",178.88,179.65,178.29,179.21,178.89
XLY,"Dec 14, 2023",178.01,179.55,177.33,178.84,178.52
XLY,"Dec 13, 2023",174.13,176.66,172.77,176.47,176.15
XLY,"Dec 12, 2023",173.46,174.31,172.77,174.19,173.88
XLY,"Dec 11, 2023",172.99,173.87,172.46,173.65,173.34
XLY,"Dec 08, 2023",171.53,173.52,171.40,173.19,172.88
XLY,"Dec 07, 2023",171.68,172.71,171.13,172.40,172.09
XLY,"Dec 06, 2023",172.02,172.86,170.86,170.99,170.68
XLY,"Dec 05, 2023",169.52,172.43,169.38,170.74,170.44
XLY,"Dec 04, 2023",169.85,171.18,169.44,170.44,170.14
XLY,"Dec 01, 2023",168.06,171.14,167.73,171.09,170.78
XLY,"Nov 30, 2023",169.02,169.09,167.46,168.78,168.48
XLY,"Nov 29, 2023",170.74,171.60,168.90,169.02,168.72
XLY,"Nov 28, 2023",168.31,169.57,167.39,169.48,169.18
XLY,"Nov 27, 2023",168.34,169.39,167.62,168.51,168.21
XLY,"Nov 24, 2023",167.97,168.53,167.68,168.24,167.94
XLY,"Nov 22, 2023",168.29,169.37,167.42,168.08,167.78
XLY,"Nov 21, 2023",166.75,167.74,166.21,167.57,167.27
XLY,"Nov 20, 2023",167.10,168.36,166.59,168.00,167.70
XLY,"Nov 17, 2023",166.59,167.59,165.55,167.14,166.84
XLY,"Nov 16, 2023",166.30,167.46,165.30,166.03,165.73
XLY,"Nov 15, 2023",168.37,169.15,167.22,167.75,167.45
XLY,"Nov 14, 2023",166.14,168.07,165.90,167.55,167.25
XLY,"Nov 13, 2023",160.69,162.64,159.97,162.09,161.80
XLY,"Nov 10, 2023",158.96,161.46,158.15,161.40,161.11
XLY,"Nov 09, 2023",161.56,161.76,158.20,158.76,158.48
XLY,"Nov 08, 2023",162.26,162.54,160.82,161.78,161.49
XLY,"Nov 07, 2023",160.71,162.41,160.38,162.21,161.92
XLY,"Nov 06, 2023",160.82,161.36,159.32,160.42,160.13
XLY,"Nov 03, 2023",159.30,161.08,159.25,160.22,159.93
XLY,"Nov 02, 2023",156.66,158.09,156.17,158.00,157.72
XLY,"Nov 01, 2023",152.99,154.08,151.79,153.98,153.71
XLY,"Oct 31, 2023",151.03,152.57,150.43,152.10,151.83
XLY,"Oct 30, 2023",151.31,151.91,149.64,150.96,150.69
XLY,"Oct 27, 2023",150.62,151.89,149.10,149.59,149.32
XLY,"Oct 26, 2023",150.23,151.05,147.83,148.04,147.78
XLY,"Oct 25, 2023",152.29,152.55,150.22,150.39,150.12
XLY,"Oct 24, 2023",153.03,154.47,152.37,153.49,153.22
XLY,"Oct 23, 2023",151.08,153.79,149.47,151.87,151.60
XLY,"Oct 20, 2023",153.72,153.80,151.61,151.69,151.42
XLY,"Oct 19, 2023",156.76,157.48,153.35,154.08,153.80
XLY,"Oct 18, 2023",160.69,160.94,157.81,158.12,157.84
XLY,"Oct 17, 2023",160.07,162.72,159.77,161.92,161.63
XLY,"Oct 16, 2023",159.83,162.06,159.43,161.54,161.25
XLY,"Oct 13, 2023",161.58,161.83,158.53,158.97,158.69
XLY,"Oct 12, 2023",163.15,163.44,160.24,161.34,161.05
XLY,"Oct 11, 2023",163.20,163.99,161.68,163.12,162.83
XLY,"Oct 10, 2023",161.03,164.08,160.96,162.54,162.25
XLY,"Oct 09, 2023",158.67,161.10,157.66,160.78,160.49
XLY,"Oct 06, 2023",157.81,161.23,156.94,160.61,160.32
XLY,"Oct 05, 2023",160.07,160.50,158.23,159.49,159.21
XLY,"Oct 04, 2023",157.96,160.64,157.92,160.29,160.00
XLY,"Oct 03, 2023",159.87,160.04,156.64,157.19,156.91
XLY,"Oct 02, 2023",160.02,162.42,159.63,161.11,160.82
XLY,"Sep 29, 2023",162.46,163.08,160.09,160.98,160.69
XLY,"Sep 28, 2023",157.78,160.59,157.38,160.13,159.84
XLY,"Sep 27, 2023",159.39,159.91,156.74,158.36,158.08
XLY,"Sep 26, 2023",160.45,161.44,158.62,158.97,158.69
XLY,"Sep 25, 2023",160.27,162.26,159.87,161.92,161.63
XLY,"Sep 22, 2023",163.52,163.86,160.79,160.93,160.64
XLY,"Sep 21, 2023",164.98,165.07,162.50,162.53,162.24
XLY,"Sep 20, 2023",169.32,170.29,167.08,167.09,166.79
XLY,"Sep 19, 2023",168.74,169.10,167.22,168.77,168.47
XLY,"Sep 18, 2023",171.00,171.20,169.39,169.62,169.32
XLY,"Sep 15, 2023",173.98,174.22,171.40,171.79,171.18
XLY,"Sep 14, 2023",173.65,175.23,172.84,174.78,174.16
XLY,"Sep 13, 2023",172.26,173.57,171.69,173.08,172.46
XLY,"Sep 12, 2023",172.67,173.83,171.72,171.72,171.11
XLY,"Sep 11, 2023",171.26,173.56,171.18,173.29,172.67
XLY,"Sep 08, 2023",168.52,169.90,168.28,168.75,168.15
XLY,"Sep 07, 2023",166.50,168.95,166.07,168.75,168.15
XLY,"Sep 06, 2023",168.90,169.16,167.06,168.28,167.68
XLY,"Sep 05, 2023",169.37,170.19,168.39,169.79,169.19
XLY,"Sep 01, 2023",171.68,172.12,168.68,169.67,169.07
XLY,"Aug 31, 2023",170.29,171.64,170.05,170.71,170.10
XLY,"Aug 30, 2023",169.14,170.82,168.72,170.18,169.57
XLY,"Aug 29, 2023",165.28,169.52,165.28,169.45,168.85
XLY,"Aug 28, 2023",165.72,165.89,164.33,165.32,164.73
XLY,"Aug 25, 2023",163.57,165.14,162.10,164.66,164.07
XLP,"Jan 16, 2024",72.81,72.85,72.11,72.40,72.40
XLP,"Jan 12, 2024",72.82,72.98,72.55,72.80,72.80
XLP,"Jan 11, 2024",72.50,72.61,72.08,72.57,72.57
XLP,"Jan 10, 2024",72.67,73.00,72.36,72.58,72.58
XLP,"Jan 09, 2024",72.27,72.73,72.01,72.73,72.73
XLP,"Jan 08, 2024",72.02,72.57,71.98,72.54,72.54
XLP,"Jan 05, 2024",72.21,72.48,71.59,72.01,72.01
XLP,"Jan 04, 2024",72.22,72.66,72.02,72.17,72.17
XLP,"Jan 03, 2024",72.97,73.09,72.16,72.27,72.27
XLP,"Jan 02, 2024",71.77,72.96,71.77,72.84,72.84
XLP,"Dec 29, 2023",71.78,72.07,71.71,72.03,72.03
XLP,"Dec 28, 2023",71.75,71.97,71.65,71.88,71.88
XLP,"Dec 27, 2023",71.54,71.85,71.44,71.85,71.85
XLP,"Dec 26, 2023",71.07,71.70,71.07,71.52,71.52
XLP,"Dec 22, 2023",70.86,71.35,70.79,71.22,71.22
XLP,"Dec 21, 2023",70.57,70.75,70.12,70.68,70.68
XLP,"Dec 20, 2023",71.11,71.27,70.19,70.19,70.19
XLP,"Dec 19, 2023",71.31,71.66,71.28,71.58,71.58
XLP,"Dec 18, 2023",71.01,71.70,70.86,71.44,71.44
XLP,"Dec 15, 2023",71.14,71.44,70.96,71.24,70.70
XLP,"Dec 14, 2023",72.36,72.47,71.19,71.24,70.70
XLP,"Dec 13, 2023",71.00,72.32,70.82,72.30,71.76
XLP,"Dec 12, 2023",70.93,71.01,70.61,71.01,70.48
XLP,"Dec 11, 2023",70.50,70.81,70.39,70.78,70.25
XLP,"Dec 08, 2023",70.47,70.53,70.01,70.11,69.58
XLP,"Dec 07, 2023",70.50,70.83,70.25,70.60,70.07
XLP,"Dec 06, 2023",70.32,70.47,70.01,70.30,69.77
XLP,"Dec 05, 2023",70.93,71.10,70.39,70.48,69.95
XLP,"Dec 04, 2023",70.56,71.28,70.56,71.04,70.51
XLP,"Dec 01, 2023",70.61,70.98,70.40,70.95,70.42
XLP,"Nov 30, 2023",70.03,70.70,69.57,70.66,70.13
XLP,"Nov 29, 2023",70.60,70.60,69.87,69.96,69.43
XLP,"Nov 28, 2023",70.19,70.71,70.18,70.53,70.00
XLP,"Nov 27, 2023",70.34,70.47,70.17,70.21,69.68
XLP,"Nov 24, 2023",70.16,70.47,70.16,70.41,69.88
XLP,"Nov 22, 2023",69.80,70.19,69.80,70.15,69.62
XLP,"Nov 21, 2023",69.43,69.70,69.13,69.65,69.13
XLP,"Nov 20, 2023",69.20,69.56,69.15,69.44,68.92
XLP,"Nov 17, 2023",69.67,69.72,69.24,69.49,68.97
XLP,"Nov 16, 2023",69.72,70.02,69.44,69.58,69.06
XLP,"Nov 15, 2023",70.40,70.59,70.22,70.45,69.92
XLP,"Nov 14, 2023",69.53,70.12,69.50,69.89,69.36
XLP,"Nov 13, 2023",68.90,69.38,68.84,69.18,68.66
XLP,"Nov 10, 2023",68.64,69.03,68.27,68.96,68.44
XLP,"Nov 09, 2023",68.84,68.90,68.32,68.48,67.96
XLP,"Nov 08, 2023",69.16,69.26,68.57,68.76,68.24
XLP,"Nov 07, 2023",68.88,69.32,68.80,69.03,68.51
XLP,"Nov 06, 2023",68.77,69.16,68.72,68.86,68.34
XLP,"Nov 03, 2023",69.07,69.34,68.75,68.75,68.23
XLP,"Nov 02, 2023",68.03,68.77,67.77,68.67,68.15
XLP,"Nov 01, 2023",67.91,68.05,67.41,67.79,67.28
XLP,"Oct 31, 2023",67.68,67.93,67.34,67.86,67.35
XLP,"Oct 30, 2023",66.83,67.74,66.83,67.62,67.11
XLP,"Oct 27, 2023",67.38,67.65,66.38,66.58,66.08
XLP,"Oct 26, 2023",67.97,68.22,67.48,67.50,66.99
XLP,"Oct 25, 2023",67.60,68.24,67.42,67.94,67.43
XLP,"Oct 24, 2023",67.24,67.83,67.22,67.71,67.20
XLP,"Oct 23, 2023",67.19,67.63,66.95,67.14,66.63
XLP,"Oct 20, 2023",67.68,67.98,67.27,67.27,66.76
XLP,"Oct 19, 2023",67.98,68.25,67.51,67.53,67.02
XLP,"Oct 18, 2023",68.06,68.55,67.92,68.03,67.52
XLP,"Oct 17, 2023",67.22,67.91,67.22,67.78,67.27
XLP,"Oct 16, 2023",67.19,67.70,66.91,67.49,66.98
XLP,"Oct 13, 2023",66.34,66.90,66.22,66.80,66.30
XLP,"Oct 12, 2023",67.15,67.18,65.99,66.22,65.72
XLP,"Oct 11, 2023",67.71,67.83,66.65,66.95,66.45
XLP,"Oct 10, 2023",67.28,67.74,67.07,67.41,66.90
XLP,"Oct 09, 2023",66.42,66.76,65.95,66.73,66.23
XLP,"Oct 06, 2023",66.75,66.90,65.18,66.67,66.17
XLP,"Oct 05, 2023",68.26,68.34,67.01,67.04,66.54
XLP,"Oct 04, 2023",68.02,68.44,67.63,68.39,67.88
XLP,"Oct 03, 2023",68.14,68.49,67.80,67.85,67.34
XLP,"Oct 02, 2023",68.65,68.74,67.89,68.34,67.83
XLP,"Sep 29, 2023",69.23,69.34,68.44,68.81,68.29
XLP,"Sep 28, 2023",68.90,69.19,68.72,69.01,68.49
XLP,"Sep 27, 2023",69.27,69.49,68.44,68.80,68.28
XLP,"Sep 26, 2023",69.59,69.79,69.30,69.37,68.85
XLP,"Sep 25, 2023",69.92,70.07,69.57,69.89,69.36
XLP,"Sep 22, 2023",70.54,70.72,70.10,70.14,69.61
XLP,"Sep 21, 2023",71.38,71.46,70.51,70.52,69.99
XLP,"Sep 20, 2023",71.57,71.92,71.23,71.44,70.90
XLP,"Sep 19, 2023",71.42,71.50,71.01,71.37,70.83
XLP,"Sep 18, 2023",71.80,71.83,71.24,71.54,71.00
XLP,"Sep 15, 2023",72.50,72.76,71.99,72.05,71.03
XLP,"Sep 14, 2023",72.12,72.70,72.09,72.65,71.62
XLP,"Sep 13, 2023",71.82,72.10,71.67,71.92,70.90
XLP,"Sep 12, 2023",72.36,72.38,71.64,71.70,70.68
XLP,"Sep 11, 2023",71.80,72.38,71.80,72.32,71.29
XLP,"Sep 08, 2023",71.64,71.71,71.42,71.70,70.68
XLP,"Sep 07, 2023",71.57,71.87,71.32,71.61,70.59
XLP,"Sep 06, 2023",71.44,71.60,71.21,71.44,70.43
XLP,"Sep 05, 2023",72.01,72.28,71.52,71.52,70.50
XLP,"Sep 01, 2023",73.00,73.04,71.90,72.14,71.12
XLP,"Aug 31, 2023",72.86,73.12,72.75,72.76,71.73
XLP,"Aug 30, 2023",73.10,73.36,72.93,73.13,72.09
XLP,"Aug 29, 2023",72.79,73.05,72.38,73.01,71.97
XLP,"Aug 28, 2023",72.66,72.88,72.50,72.75,71.72
XLP,"Aug 25, 2023",72.32,72.60,71.97,72.42,71.39
XLE,"Jan 16, 2024",82.50,82.61,80.66,80.71,80.71
XLE,"Jan 12, 2024",83.02,83.35,82.18,82.68,82.68
XLE,"Jan 11, 2024",81.99,82.20,81.43,81.76,81.76
XLE,"Jan 10, 2024",82.52,82.55,81.22,81.55,81.55
XLE,"Jan 09, 2024",83.81,83.90,82.18,82.36,82.36
XLE,"Jan 08, 2024",83.24,83.80,82.10,83.70,83.70
XLE,"Jan 05, 2024",85.42,85.46,84.29,84.68,84.68
XLE,"Jan 04, 2024",86.74,87.11,84.56,84.61,84.61
XLE,"Jan 03, 2024",84.87,86.43,84.44,86.12,86.12
XLE,"Jan 02, 2024",84.43,85.52,84.31,84.74,84.74
XLE,"Dec 29, 2023",84.32,84.40,83.59,83.84,83.84
XLE,"Dec 28, 2023",84.89,85.22,84.00,84.03,84.03
XLE,"Dec 27, 2023",85.71,86.00,85.02,85.33,85.33
XLE,"Dec 26, 2023",85.70,86.17,85.44,85.71,85.71
XLE,"Dec 22, 2023",85.34,85.72,84.85,84.98,84.98
XLE,"Dec 21, 2023",84.57,84.86,83.94,84.73,84.73
XLE,"Dec 20, 2023",85.49,85.99,84.30,84.40,84.40
XLE,"Dec 19, 2023",84.34,85.28,84.15,85.19,85.19
XLE,"Dec 18, 2023",84.98,85.41,84.10,84.18,84.18
XLE,"Dec 15, 2023",83.99,84.46,83.60,84.30,83.50
XLE,"Dec 14, 2023",83.16,84.86,83.16,84.75,83.94
XLE,"Dec 13, 2023",81.25,82.36,80.87,82.33,81.55
XLE,"Dec 12, 2023",81.57,81.66,80.74,81.20,80.43
XLE,"Dec 11, 2023",82.30,82.60,81.92,82.33,81.55
XLE,"Dec 08, 2023",81.89,82.48,81.72,82.23,81.45
XLE,"Dec 07, 2023",82.29,82.70,81.06,81.35,80.58
XLE,"Dec 06, 2023",82.61,83.19,81.59,81.91,81.13
XLE,"Dec 05, 2023",84.58,84.74,83.10,83.15,82.36
XLE,"Dec 04, 2023",84.40,85.16,84.01,84.63,83.82
XLE,"Dec 01, 2023",84.48,86.03,84.10,85.02,84.21
XLE,"Nov 30, 2023",84.74,85.79,83.57,84.58,83.78
XLE,"Nov 29, 2023",85.18,85.29,83.75,84.02,83.22
XLE,"Nov 28, 2023",84.80,85.43,84.49,84.65,83.84
XLE,"Nov 27, 2023",84.49,84.78,83.84,84.63,83.82
XLE,"Nov 24, 2023",84.55,85.56,84.50,84.93,84.12
XLE,"Nov 22, 2023",82.93,84.65,82.46,84.58,83.78
XLE,"Nov 21, 2023",84.41,84.77,83.81,84.62,83.81
XLE,"Nov 20, 2023",85.04,85.54,84.79,84.81,84.00
XLE,"Nov 17, 2023",83.66,85.25,83.46,84.69,83.88
XLE,"Nov 16, 2023",83.80,84.12,82.11,82.95,82.16
XLE,"Nov 15, 2023",84.63,85.67,84.48,84.60,83.80
XLE,"Nov 14, 2023",84.33,85.00,84.19,84.76,83.95
XLE,"Nov 13, 2023",83.54,84.18,83.28,84.01,83.21
XLE,"Nov 10, 2023",83.43,83.61,82.62,83.41,82.62
XLE,"Nov 09, 2023",83.36,83.55,82.45,82.50,81.72
XLE,"Nov 08, 2023",83.48,84.03,82.72,82.75,81.96
XLE,"Nov 07, 2023",84.58,84.73,83.43,83.80,83.00
XLE,"Nov 06, 2023",87.37,87.37,85.45,85.70,84.88
XLE,"Nov 03, 2023",87.40,87.68,86.15,86.68,85.86
XLE,"Nov 02, 2023",85.20,87.64,84.71,87.56,86.73
XLE,"Nov 01, 2023",85.73,86.19,84.87,84.99,84.18
XLE,"Oct 31, 2023",85.01,85.37,84.16,85.19,84.38
XLE,"Oct 30, 2023",84.93,85.54,84.09,84.91,84.10
XLE,"Oct 27, 2023",86.62,86.95,84.34,84.63,83.82
XLE,"Oct 26, 2023",86.59,87.11,85.85,86.71,85.89
XLE,"Oct 25, 2023",87.61,88.06,86.95,87.39,86.56
XLE,"Oct 24, 2023",89.02,89.09,87.52,87.55,86.72
XLE,"Oct 23, 2023",89.74,89.75,88.39,88.80,87.96
XLE,"Oct 20, 2023",91.64,91.98,89.95,90.26,89.40
XLE,"Oct 19, 2023",91.64,92.56,90.77,91.80,90.93
XLE,"Oct 18, 2023",91.50,92.34,91.29,91.96,91.09
XLE,"Oct 17, 2023",89.99,91.41,89.86,91.13,90.26
XLE,"Oct 16, 2023",90.17,90.46,89.33,90.19,89.33
XLE,"Oct 13, 2023",89.09,90.02,88.71,89.59,88.74
XLE,"Oct 12, 2023",88.49,88.57,87.25,87.66,86.83
XLE,"Oct 11, 2023",87.79,87.88,86.55,87.56,86.73
XLE,"Oct 10, 2023",88.67,89.29,88.17,88.70,87.86
XLE,"Oct 09, 2023",88.03,88.96,87.40,88.59,87.75
